frame_count,pose_score,part_names,keypoint_score,x,y,timestamp
0,0.4859805405139923,nose,0.9985959529876709,611.1621462446195,124.54679522597998,0
0,0.4859805405139923,leftEye,0.9991533160209656,633.6551921730388,105.82270572060033,0
0,0.4859805405139923,rightEye,0.9990373849868774,586.4434373456263,107.56471700835645,0
0,0.4859805405139923,leftEar,0.9898312091827393,670.4230484013749,131.74127511810838,0
0,0.4859805405139923,rightEar,0.9635250568389893,557.0766541241669,131.3009044580292,0
0,0.4859805405139923,leftShoulder,0.8640219569206238,734.0041895991649,281.25150714004246,0
0,0.4859805405139923,rightShoulder,0.4728325605392456,515.4485835954644,284.48051184938663,0
0,0.4859805405139923,leftElbow,0.16615062952041626,848.2443314689963,414.32416413959703,0
0,0.4859805405139923,rightElbow,0.700061559677124,357.9231053862057,425.606136656644,0
0,0.4859805405139923,leftWrist,0.625341534614563,790.811369837648,539.0956664503666,0
0,0.4859805405139923,rightWrist,0.27470383048057556,437.49238330459093,543.2204236482319,0
0,0.4859805405139923,leftHip,0.10005831718444824,672.154915757545,647.7296287135074,0
0,0.4859805405139923,rightHip,0.0855054259300232,526.8409332900425,679.260994425991,0
0,0.4859805405139923,leftKnee,0.0007517039775848389,660.5577066815875,734.9910629004762,0
0,0.4859805405139923,rightKnee,0.013947933912277222,533.4903635191204,736.1126802678693,0
0,0.4859805405139923,leftAnkle,0.0022497475147247314,677.0306607805705,713.1949434782329,0
0,0.4859805405139923,rightAnkle,0.005901068449020386,519.1443151429353,721.0876812851219,0
1,0.5093409752144533,nose,0.9987050294876099,611.0598324923274,124.6895592672783,0
1,0.5093409752144533,leftEye,0.9991214275360107,634.1216318505018,105.49369878936231,0
1,0.5093409752144533,rightEye,0.9989669322967529,586.5089327461233,107.7292730097185,0
1,0.5093409752144533,leftEar,0.9901775121688843,671.5533652386213,131.9090053491425,0
1,0.5093409752144533,rightEar,0.9690312743186951,556.8010565828439,131.5896519443445,0
1,0.5093409752144533,leftShoulder,0.4950127601623535,727.9148699062233,273.33120781078674,0
1,0.5093409752144533,rightShoulder,0.11455145478248596,520.5875867985004,276.8161064281798,0
1,0.5093409752144533,leftElbow,0.7092403173446655,862.7314659088888,424.3921666396291,0
1,0.5093409752144533,rightElbow,0.8829787969589233,360.63462474411267,422.71873474121094,0
1,0.5093409752144533,leftWrist,0.41461870074272156,798.2160326656345,531.3121133101614,0
1,0.5093409752144533,rightWrist,0.8361117839813232,446.510928715779,552.4638018691749,0
1,0.5093409752144533,leftHip,0.12089461088180542,679.0263963954811,650.0193759851288,0
1,0.5093409752144533,rightHip,0.10888054966926575,531.0821624478066,674.0724406744304,0
1,0.5093409752144533,leftKnee,0.0008324384689331055,680.9249573845236,739.824707298948,0
1,0.5093409752144533,rightKnee,0.012952178716659546,532.3425415743467,740.0916959528337,0
1,0.5093409752144533,leftAnkle,0.0034064650535583496,705.6263982428065,709.0880470945124,0
1,0.5093409752144533,rightAnkle,0.0033143460750579834,532.7325647054009,723.1333213940001,0
2,0.49722347364706154,nose,0.9984229803085327,611.931563341416,123.99431329024465,0
2,0.49722347364706154,leftEye,0.999113142490387,635.1560494679622,105.1238585354989,0
2,0.49722347364706154,rightEye,0.9989242553710938,587.8049412071317,107.01820406997412,0
2,0.49722347364706154,leftEar,0.9905796051025391,672.0400912057903,130.89452074285137,0
2,0.49722347364706154,rightEar,0.9701478481292725,557.2889655402174,131.60540530556125,0
2,0.49722347364706154,leftShoulder,0.8383954763412476,733.6577104188996,282.3921243767989,0
2,0.49722347364706154,rightShoulder,0.45005273818969727,514.6056570343295,283.19782056306536,0
2,0.49722347364706154,leftElbow,0.4059627950191498,860.3781960317465,419.110147576583,0
2,0.49722347364706154,rightElbow,0.8407440185546875,359.7990492214927,428.6867108261376,0
2,0.49722347364706154,leftWrist,0.4036714434623718,799.2037146361193,533.1565127456397,0
2,0.49722347364706154,rightWrist,0.3389907479286194,437.0265563845789,544.2319214134885,0
2,0.49722347364706154,leftHip,0.04659092426300049,671.4781788948764,632.5389634517201,0
2,0.49722347364706154,rightHip,0.12250486016273499,532.0853729644894,658.9462936133668,0
2,0.49722347364706154,leftKnee,0.0008409321308135986,687.7472434769371,739.9713255229749,0
2,0.49722347364706154,rightKnee,0.03859513998031616,514.7453637240922,732.1411574514289,0
2,0.49722347364706154,leftAnkle,0.00289347767829895,705.4022361646238,710.2945280911629,0
2,0.49722347364706154,rightAnkle,0.006368666887283325,510.29448713840833,719.7835778353507,0
3,0.495820271618226,nose,0.9984889030456543,612.0789947931415,124.15493413021689,0
3,0.495820271618226,leftEye,0.999138593673706,635.697775271531,104.72832596092893,0
3,0.495820271618226,rightEye,0.998903751373291,587.5047908430756,106.24840518884491,0
3,0.495820271618226,leftEar,0.9888180494308472,672.1217620636303,130.52802872239496,0
3,0.495820271618226,rightEar,0.9646899700164795,556.3078611693859,130.6061075444807,0
3,0.495820271618226,leftShoulder,0.8356084823608398,733.9963422857118,282.1671562864069,0
3,0.495820271618226,rightShoulder,0.4806661903858185,514.4317919628207,282.6493233128598,0
3,0.495820271618226,leftElbow,0.4498724639415741,860.2258464480872,418.8339487711588,0
3,0.495820271618226,rightElbow,0.6702136993408203,356.21565641445363,422.38662853575585,0
3,0.495820271618226,leftWrist,0.3679806590080261,799.8892743689805,533.2065762971577,0
3,0.495820271618226,rightWrist,0.44456183910369873,433.796439301053,542.4388972499914,0
3,0.495820271618226,leftHip,0.05897867679595947,669.2040926830356,643.1888647246778,0
3,0.495820271618226,rightHip,0.13953286409378052,525.6264272622851,677.7028666044536,0
3,0.495820271618226,leftKnee,0.0007913708686828613,659.6777427832078,734.6587853682668,0
3,0.495820271618226,rightKnee,0.021476775407791138,528.6086066088534,731.3787132397032,0
3,0.495820271618226,leftAnkle,0.003634810447692871,677.2923125650234,710.8148755525287,0
3,0.495820271618226,rightAnkle,0.005587518215179443,513.0615554705397,719.6889174611945,0
4,0.5019006816779866,nose,0.9986147880554199,611.998572889013,124.24047369706003,0
4,0.5019006816779866,leftEye,0.9991363286972046,635.2194373846364,104.88003044797662,0
4,0.5019006816779866,rightEye,0.9989727139472961,587.1754795863197,107.22468091730485,0
4,0.5019006816779866,leftEar,0.988492488861084,671.8841996831608,130.51713341160823,0
4,0.5019006816779866,rightEar,0.9661426544189453,556.7392069217598,131.06509526570636,0
4,0.5019006816779866,leftShoulder,0.8344941735267639,733.1962993706156,282.8929111413788,0
4,0.5019006816779866,rightShoulder,0.3818809390068054,512.4291291751539,281.9876165557326,0
4,0.5019006816779866,leftElbow,0.507737934589386,858.7340907777703,423.0274133514939,0
4,0.5019006816779866,rightElbow,0.8716042041778564,355.0433991758349,427.794981839364,0
4,0.5019006816779866,leftWrist,0.46136245131492615,800.6004266032006,532.5419362386067,0
4,0.5019006816779866,rightWrist,0.42262884974479675,434.23113144575694,542.4270944428025,0
